,title,img_link,alcohol,size,wine_type,sparkling,sweetness,grape_type,country,aroma,flavor,winery,color,food_pairing,charms,link
269,CHATEAU PEDESCLAUX ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUPEDESCLAUX.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 뽀이약","블랙체리, 블랙커런트, 건조시킨 허브 향","1855년에 만들어진 메독 그랑 크뤼 클라쎄에서 당당한 5등급을 차지하고 있는 샤또 뻬데스끌로는 뛰어난 와인의 품질을 150년 이상 이어오고 있는 곳으로 매우 유명합니다. 뽀이약이라는 생산지는 샤또 라피트 로췰드, 샤또 라뚜르 등의 1등급이 생산되는 곳으로 뛰어난 기후와 토양의 최적의 조건을 가진 떼루아르에서 생산된 와인으로 그 명성을 유지하고 있습니다. 포도재배지역은 뽀이약이 내려다 보이는 자갈로 덮인 언덕에 자리잡고 있습니다",CHATEAU PEDESCLAUX,진한 자주색,"비프 스테이크, 파스타, 버섯 요리",,http://www.wine.co.kr/wine/387
270,CHATEAU PAVIE ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUPAVIE.png,12.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 쌩떼밀리옹","블랙베리, 체리, 블랙커렌트, 섬세한 연기 냄새","샤또 빠비 마큉(Chateau Pavie-Macquin)은 생떼밀리옹 지역의 프리미엄 와인으로 2006년에 Premier Grand Cru Classe B등급으로 승격된 와인입니다. 빠비(Pavie)로 시작하는 3개의 와이너리 샤또 빠비(Chateau Pavie), 샤또 빠비 드쎄스(Chateau Pavie-Decesse)중 하나입니다. 19세기 보르도의 네고시앙이던 Ferdinand Bouffard가 소유한 포도밭 중 하나였으며, 인근 포도밭인 샤또 라 세르(Chateau La Serre)의 오너인 Albert Macquin가 인수하였습니다.",CHATEAU PAVIE,진한 자주색,"유황오리구이, 족발, 훈제 연어, 브리 치즈 등",Parker Point 94,http://www.wine.co.kr/wine/397
271,CHATEAU SOCIANDO-MALLET ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUSOCIANDOMALLET.png,12.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 오메독","감초, 젤리향, 블랙라즈베리향, 미네랄향, 송로버섯향","'샤또 소시앙도 말레'는 건강한 포도알이 수확되는 것을 보증하기 위하여 손으로 수확하고 있습니다. 3주나 그 이상의 침용 기간, 80% 이상이 새 술통을 사용하는 것, 최소한의 여과 등이 이 샤또의 술이 최상의 품질을 자랑하게 하는 요소들 입니다.",CHATEAU SOCIANDO-MALLET,짙은 자주색,"어린양, 송아지, 가금류나 델리케이트한 엽조류 요리",Parker Point 0,http://www.wine.co.kr/wine/398
272,CHATEAU CHEVAL BLANC ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUCHEVALBLANC.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 쌩떼밀리옹","블렉베리, 미네랄, 향신료, 타바코","슈발 블랑이란 “백마” 라는 의미입니다. 라벨에 그려진 금상 메달은 1862년과 1878년 파리 와인 콩쿨에서 획득한 것입니다. 보르도 8대 샤또 중에서 “마시는 시기의 기간이 가장 길다”라고 불려지며, 미성숙 때부터 마실 수 있지만 까버네 프랑의 비율이 높기 때문에 병열로 해를 거듭할수록 깊은 맛과 향이 증가합니다. 슈발 블랑의 진면목은 10년, 20년 병 안에서 숙성하는 것에 의해서 나타납니다.",CHATEAU CHEVAL BLANC,짙은 루비색,"양고기, 쇠고기 요리, 수육, 치즈 등",Parker Point 91,http://www.wine.co.kr/wine/392
273,CHATEAU SMITH HAUT LAFITTE ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUSMITHHAUTLAFITTE.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 페삭 레오냥",희미한 제비꽃과 담배의 향취,"16세기에 건설된 타워, 18세기에 지은 성당, 2개의 지하 술 저장고, 또 고유의 통 제조업으로 유명한 스미스 오 라피트(Smith Haut Lafitte)는 그 맛도 맛이지만 아름다운 와이너리와 스파(SPA)시설을 갖춘 관광지로도 유명합니다",CORDIER,짙은 자주색,"치즈,갈비,스테이크,안심,파스타 등",Parker Point 91,http://www.wine.co.kr/wine/399
274,CHATEAU AUSONE ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUAUSONE.png,12.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 생떼밀리옹",다양한 과일의 복합적인 맛과 향. 스파이스와 베리가 섞인 스위트한 아로마,"보르도 9대 샤또의 하나로 들어가는 샤또 오존은 세계 유산으로 지정된 “쌩떼밀리옹의 언덕” 의 최고의 장소, 빛이 잘 드는 경사면에 포도밭을 가지고 있습니다. 어떤 와인 평론가는1874년 빈티지를 마시고, “내가 이때까지 샤또오존을 평가하지 않은 것은, 마시는 시기가 될 때까지 121년을 기다릴 기회가 없었기 때문이라는 것을 알게 되었다!” 라고 하며 감미로운 향과 깊은 맛, 환상적인 스위트한 피니쉬를 절찬했습니다. 샤또 오존은 상당히 희소한 와인으로, 9대 샤또 중에서도 가장 찾기 힘든 와인으로 알려져 있다",CHATEAU AUSONE,짙은 레드,"스테이크, 도미와인찜, 메로구이, 치즈, 살라미",Parker Point 94,http://www.wine.co.kr/wine/400
275,CHATEAU GISCOURS ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUGISCOURS.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 마고","블랙체리, 블랙커런트, 건조시킨 허브 향","지스꾸르의 샤또는 메독에서도 최대급이며 아름답기로 유명하여 방문해 볼 가치가 있는 곳입니다. 샤또의 역사가 길기 때문에, 문헌에서도 이름을 찾아볼 수 있으며, 루이 14세에게 헌상되기도 하였습니다.",CHATEAU GISCOURS,짙은 적색/자색,"양고기, 쇠고기 요리, 수육, 치즈 등",Parker Point 86,http://www.wine.co.kr/wine/381
276,CHATEAU PALMER ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUPALMER.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 마고","삼나무향, 서양자두, 사랑스런 꽃 향기",신의 물방울에서 사도로 등장한 샤또 팔머는 와인을 좋아하는 왕으로 알려진 영국 왕 조지 4세가 가장 좋아했던 와인이기도 합니다. 멜롯 비율이 높아서 풍부하고 화려한 향과 마고다운 풍만한 바디에 엘레강스한 맛. 숙성이 진행됨에 따라 탄닌이 부드러워 져서 향이 더욱 화려해 졌을 때가 가장 마시기가 좋은 시기입니다.,CHATEAU PALMER,짙은 자주색,"치즈, 갈비, 스테이크, 안심, 파스타 등",Parker Point 89,http://www.wine.co.kr/wine/401
277,CHATEAU FIGEAC ,http://www.wine.co.kr/upload/products/wineList/france/CHATEAUFIGEAC.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 쌩뗴일리옹","블렉베리향, 미네랄향, 멘톨향, 향신료향, 담배향",슈발블랑과 직접 맞닿아 있는 피작은 종종 슈발블랑과 비교되지만 확연히 다른 스타일의 와인을 생산하며 복합적인 과일 향이 가득하고 부드럽고 매혹적이며 농축이 잘 된 와인을 생산합니다. 생떼밀리옹과 포므롤 마을에서 한국인들에게 가장 잘 알려진 와인 중 하나이다.,CHATEAU FIGEAC,짙은 루비색,"그릴에 구운 야생 육류 요리, 치즈, 갈비찜, 피자",,http://www.wine.co.kr/wine/402
278,Fontanafredda Barolo Serralunga dAlba DOCG06 ,http://www.wine.co.kr/upload/products/wineList/italy/FontanafreddaBaroloSerralungadAlbaDOCG06.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 피에몬테, 알바","오렌지류 향과 바닐라, 장미, 스파이시한 향이 복합적으로 풍깁니다.","드라이하면서 부드러운 질감이 우아한 와인으로 긴 피니쉬가 특징으로 휼륭한 구조감과 견고한 짜임새, 강건한 무게감이 뛰어난 풀바디 와인입니다.",폰타나프레다,루비빛이 감도는 짙은 레드,"붉은 육류, 잘 숙성된 치즈 외",명품 바롤로 생산지로 유명한 '세라룽가 달바'에서 생산되는 고품격 바롤로 와인으로 폰타나프레다의 대표 제품입니다. Robert Parker 90점(2003),http://www.wine.co.kr/wine/319
279,Song Blue Cabernet Sauvignon ,http://www.wine.co.kr/images/common/img_wine_default.png,12.5%,750ml,Red,Still,Dry,카버네 소비뇽,"프랑스, 보르도","블랙베리류의 향, 약간의 향신료향","약간은 강하면서 복잡 미묘한 특징을 가진 송블루 까버네 소비뇽은 한국음식 (불고기, 떡갈비, 산적 등)과도 매우 잘 어울리며 잔치나 모임에서도 격의 없이 즐길 수 있는 와인이다",Song Blue,짙은 루비빛,"불고기, 산적, 떡갈비, 스파게티 등",롯데가 직접 네이밍하고 select한 와인으로 가격대비 품질의 프랑스 와인,http://www.wine.co.kr/wine/500
280,Song Blue Medoc ,http://www.wine.co.kr/images/common/img_wine_default.png,13.0%,750ml,Red,Still,Dry,카버네 소비뇽,"프랑스, 보르도, 메독",집중도있는 베리류의 과실향,풍미가 있으며 잘 짜여진 탄닌의 구조감이 인상적임,Song Blue,짙은 루비빛,"각종 고기류, 스파게티, 치즈 등",롯데가 직접 네이밍하고 select한 와인으로 가격대비 품질의 프랑스 와인,http://www.wine.co.kr/wine/499
281,Song Blue Merlot ,http://www.wine.co.kr/images/common/img_wine_default.png,12.5%,750ml,Red,Still,Dry,멜롯,"프랑스, 보르도",베리류의 응축된 과일향,,Song Blue,루비빛,"불고기, 산적, 떡갈비, 스파게티 등",롯데가 직접 네이밍하고 select한 와인으로 가격대비 품질의 프랑스 와인,http://www.wine.co.kr/wine/496
282,Song Blue Medium Sweet ,http://www.wine.co.kr/images/common/img_wine_default.png,12.5%,750ml,Red,Still,Medium Sweet,기타,"프랑스, 보르도","체리,딸기향",탄닌맛과 드라이한 맛을 줄여 부드럽고 적절한 당도,Song Blue,루비빛,"부드러운 치즈, 스파게티 등",떫은 탄닌의 맛을 줄여 와인을 시작하는 초보자나 여성들에게 특히 인기있는 와인이다.,http://www.wine.co.kr/wine/501
283,Song Blue Bordeaux ,http://www.wine.co.kr/images/common/img_wine_default.png,12.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯","프랑스, 보르도",베리류의 응축된 과일향,부드러운 맛의 메를로와 탄닌맛이 강한 까버네소비뇽을 6:4 비율로 블렌딩하여 조화로운 맛을 느낄 수 있 는 보르도 정통와인,Song Blue,깊은 보라빛,"각종 고기류, 스파게티, 치즈 등",Gironde 지역에서 생산된 AOC등급의 와인이다.또한 생산하는 데에 있어서도 명백히 규정된 방식을 적용하고 있으며 일반적으로 모든 이들의 입맛에 잘 맞는 와인이다.,http://www.wine.co.kr/wine/497
284,Song Blue Saint-Emillion ,http://www.wine.co.kr/images/common/img_wine_default.png,12.5%,750ml,Red,Still,Dry,멜롯,"프랑스, 보르도, 생떼밀리옹",붉은 과일향과 약간의 카시스향,메를로 특유의 벨벳과 같은 온화한 부드러움을 느낄 수 있다,Song Blue,짙은 루비색,"불고기, 산적, 떡볶이 등",롯데가 직접 네이밍하고 select한 와인으로 가격대비 품질의 프랑스 와인,http://www.wine.co.kr/wine/498
285,HOBNOB Shiraz ,http://www.wine.co.kr/upload/products/wineList/france/HOBNOBShiraz.png,13.0%,750ml,Red,Still,Dry,쉬라즈,"프랑스, 랑귀독",체리향과 약간의 바닐라향,벨벳의 느낌처럼 입안에서 부드럽게 넘어간다.,홉노브,짙은 루비빛,"각종 고기요리, 치즈 등",Casual스타일의 Easy-Drink 프랑스 와인,http://www.wine.co.kr/wine/447
286,Spell ,http://www.wine.co.kr/upload/products/wineList/germany/20160803063322991.png,5.5%,275ml,White,Sparkling,Semi Sweet,모스카토,독일,"미세한 버블이 느껴지며, 상큼 달콤한 풍미가 돋보이는 와인으로 생기발랄한 느낌이 든다.","미세한 버블이 느껴지며, 상큼 달콤한 풍미가 돋보이는 와인으로 생기발랄한 느낌이 든다.",모젤란드,그린빛이 감도는 밝은 옐로우 색상,"에피타이져류, 케이크 과일 아이스크림과 같은 디저트류 등","Spell’ = ‘마법, 마력’ 미세한 버블과, 상큼 달콤한 풍미로 여름철, 특히 여성들의 선호도가 높은 제품. 실내, 야외 어디서든 가볍게 즐길 수 있는 Ready To Drink 와인.",http://www.wine.co.kr/wine/585
287,Sirius Costco ,http://www.wine.co.kr/upload/products/wineList/france/SiriusCostco.png,14.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯","프랑스, 보르도, 그라브, 페싹 레오냥","매우 풍부하고 우아한 붉은 과실향,잼 향","우아한 탄닌, 풍부하고 먹음직스러운 과일맛 그리고 크리미한 텍스쳐",Sichel,깊은 보라색,"붉은 고기류, 치즈","Concours des Grands Vins de France de Macon 2011 동메달, Concours General Agricole de Paris 2011 금메달",http://www.wine.co.kr/wine/495
288,Sichel Bel Air Red ,http://www.wine.co.kr/upload/products/wineList/france/SichelBelAirRed.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 보르도",다양한 붉은 과일향과 약간의 향신료향,과도하지 않은 탄닌과 크리미한 구조감.,Sichel,깊은 보라색,"스테이크, 불고기, 양고기 등",전형적인 보르도 와인으로 가격대비 품질의 와인이다. 간단한 고기요리와 매우 잘 어울리며 선물용으로 손색없다.,http://www.wine.co.kr/wine/494
289,Avantgarde QBA ,http://www.wine.co.kr/upload/products/wineList/germany/AvantgardeQBA.png,8.5%,750ml,White,Still,Sweet,기타,"독일, 모젤","복숭아, 레몬 아로마",농축감 있는 과일향의 피니쉬와 함께 훌륭한 우아함을 지닌 낮은 알코올의 와인으로 부드러운 달콤함과 적절한 산도가 조화를 잘 이루고 있습니다.,모젤란드,밝은 밀짚색,"해산물, 치킨, 아시아 요리들과 잘 조화",예술적인 블루 바틀로 잘 알려져 달콤한 맛과 함께 패키지로도 유명한 와인,http://www.wine.co.kr/wine/16
290,IRIS ,http://www.wine.co.kr/upload/products/wineList/spain/IRIS.png,10.5%,750ml,White,Still,Semi Sweet,기타,"스페인, 발데빼냐스",각종 꽃과 열대 과일의 아로마,"드라이하지 않고 단맛이 잘 살아 있는 미디엄 스위트 와인으로 일상적이고 캐쥬얼한 자리에도 잘 어울리며, 특히 와인을 처음 접하시는 분들도 쉽게 즐길 수 있는 와인입니다.",Felix Solis,신선한 레몬칼라,"생선 및 각종 해산물 요리, 샐러드",합리적인 가격과 부담없는 맛으로 인기 있는 스페인 와인(Lotte Mart전용),http://www.wine.co.kr/wine/243
291,Aysen Reserva Merlot ,http://www.wine.co.kr/upload/products/wineList/chile/20190104095631122.png,14.0%,750ml,Red,Still,Dry,멜롯,칠레 콜차구아밸리,"블랙베리의 아로마와 바닐라향, 아몬드향","잘 익은 블랙베리의 아로마와 바닐라, 9개월의 오크 숙성으로부터 나온 아로마향이 지속적인 아로마를 만들어준다. 풍부하고 부드러운 와인으로 체리와 건포도의 향과 함께 훌륭한 조화를 이룬 와인.",Santa Carolina,밝은 자주색,"소스있는 파스타, 마일드한 소스의 흰살 또는 붉은 육류",‘Ottawa Food & Wine Show 1999-Canada ‘Silver Medal’,http://www.wine.co.kr/wine/736
292,Aysen Reserva Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/chile/20190104095240866.png,13.8%,750ml,Red,Still,Dry,카버네 소비뇽,칠레 콜차구아밸리,"쵸콜렛, 담배, 블랙베리향",바닐라의 달콤함과 시나몬향이 느껴지는 풀바디와인으로 과일과 오크의 완벽한 조화를 이루며 긴 여운과 부드러운 탄닌이 특징적인 우아하고 복합적인 숙성잠재력을 가진 와인,Santa Carolina,밝은 루비색,"파스타나 붉은 육류, 구운 돼지고기와 맛이 가미된 치즈",칠레 4대 와이너리 중 하나로 세계 60개국이 넘는 나라에 수출하고 있는 우수한 생산자,http://www.wine.co.kr/wine/735
293,APOTHIC DARK ,http://www.wine.co.kr/upload/products/wineList/america/20170328042550864.png,13.0%,750ml,Red,Still,Dry,기타,"미국, 캘리포니아","커피, 블랙베리, 담배잎 향","깊고 진한 색과 향에 걸맞는 강인한 느낌의 구조감 속에서 감미로운 느낌을 주는 검은 과일류, 커피, 초콜렛의 풍미가 강인하면서도 우아한 미감을 형성합니다.",Apothic,옅은 바이올렛 색감이 감도는 검붉은 색,"치즈, 해산물, 샐러드, 가금류","편안한 미감이 돋보이는 미국 블렌딩 와인 브랜드 아포틱 시리즈의 네번째 제품인 ‘아포틱 다크’는 검은 과일류와 커피, 초콜릿 등 black food의 미감을 담아낸, 풍성하고 진한 느낌의 블랜딩 와인입니다. 캘리포니아산 와인으로써는 독특하게도 Cabernet Sauvignon에 Petit Sirah 품종을 블렌딩하여 특유의 진하고 감미로운 느낌의 미감을 형성시켰습니다. 깊고 진한 풍미와 탄탄한 구조감은 강렬한 풍미를 즐기는 와인 애호가들에게 이상적인 선택이 될 수 있을 것입니다.",http://www.wine.co.kr/wine/644
294,Apothic Red Winemaker's Blend ,http://www.wine.co.kr/upload/products/wineList/america/20170328041414561.png,13.0%,750ml,Red,Still,Dry,"멜롯, 쉬라즈, 기타","미국, 캘리포니아",블랙베리와 다크 체리의 과실 향,입안에서 가득하게 느껴지는 부드러운 탄닌과 피니시가 있는 풀 바디 레드 와인,Apothic,진한 자주빛의 붉은 색,"치즈, 소고기(스테이크), 돼지고기","아포틱 레드에 대한 해외 소비자들의 평가는 가히 폭발적입니다. 2010년 4월~12월 사이 미국 시장에서 940% 성장이라는 경이로운 기록과 함께, 순식간에 프리미엄 레드 블렌딩 와인 중 판매 2위 자리에 올랐습니다. 신비로우면서 대담한 레이블 디자인을 통해 새로운 프리미엄 와인을 탄생시켰고, 일반 소비자가 원하는 부드러운 맛과 스위트 뉘앙스는 독특하면서도 완전히 새로운 아포틱 레드를 더욱 빛나게 합니다.",http://www.wine.co.kr/wine/643
295,Aphotic Brew ,http://www.wine.co.kr/upload/products/wineList/america/20190131054534036.png,13.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 기타","미국, 캘리포니아","메이플, 구운 오크",풍부하면서도 은은하고 깊은 콜드 브루의 향,Apothic,진한 자주빛의 붉은 색,"치즈, 소고기(스테이크), 돼지고기","아포틱 브루는 한정판으로 생산되며 강직한 레드블렌드 와인에 콜드브루 원액을 함유한 혁신적인 와인이다. 검은 과실류의 집중도와 초콜릿 캐릭터의 콜드 브루의 조합이 매우 절묘하게 어울러진다. 아포틱 브루는 캘리포니아 지역에서도 항상 해가 비치고 따뜻한 지역에서만 재배된 과실을 사용하며, 과육맛의 풍부함이 극대화되었을 때 수확한다. 콜드 브루 원액은 스테인레스 탱크속에서 숙성된 후, 병입 과정에서 함유된다. 그 후, 2달간의 추가 숙성을 통해 와인과 커피의 환상적 조화를 이루어낸다.",http://www.wine.co.kr/wine/737
296,Apothic Inferno ,http://www.wine.co.kr/upload/products/wineList/america/20180410035713362.png,15.9%,750ml,Red,Still,Dry,기타,"미국, 캘리포니아",검은 과실 향,입안에서 가득하게 느껴지는 탄닌과 깔끔하면서도 긴 여운을 선사하는 레드 와인,Apothic,진한 자주 빛의 붉은 색,"치즈, 소고기(스테이크), 돼지고기","""여지껏 내가 시음한 캘리포니아 블렌딩 와인 중에서 최고이다. 베리 과일류, 후추, 스파이스, 대단히 부드러운 탄닌 등이 완전히 조화로우며 입안에서 매력이 강하게 느껴진다. 브라보!"" - 로버트 파커, Wine Advocate",http://www.wine.co.kr/wine/709
297,APOTHIC Crush ,http://www.wine.co.kr/upload/products/wineList/america/20170328042737324.png,13.0%,750ml,Red,Still,Dry,기타,"미국, 캘리포니아","커피, 블랙베리, 다크초콜릿 향",잘 익은 붉은 베리류의 풍미와 다크 초콜렛을 연상시키는 부드러운 구조감이 적절한 탄닌감과 조화되어 깊고 진한 미감을 형성합니다.,Apothic,검은색에 가까운 다크 레드,"치즈, 소고기(스테이크), 돼지고기","편안한 미감이 돋보이는 미국 블렌딩 와인 브랜드 아포틱 시리즈의 네번째 제품인 ‘아포틱 다크’는 검은 과일류와 커피, 초콜릿 등 black food의 미감을 담아낸, 풍성하고 진한 느낌의 블랜딩 와인입니다. 캘리포니아산 와인으로써는 독특하게도 Cabernet Sauvignon에 Petit Sirah 품종을 블렌딩하여 특유의 진하고 감미로운 느낌의 미감을 형성시켰습니다. 깊고 진한 풍미와 탄탄한 구조감은 강렬한 풍미를 즐기는 와인 애호가들에게 이상적인 선택이 될 수 있을 것입니다.",http://www.wine.co.kr/wine/645
298,Apothic White Winemaker's Blend ,http://www.wine.co.kr/upload/products/wineList/america/20170328041202828.png,13.0%,750ml,White,Still,Dry,"샤도네이, 모스카토, 기타","미국, 캘리포니아","복숭아, 파인애플 등의 집중력 있는 과일 향",부드럽고 스위트한 느낌과 풍부한 과일 풍미를 즐길 수 있는 화이트 블렌딩 와인,Apothic,밝은 살구빛,"치즈, 해산물, 샐러드, 가금류","""여지껏 내가 시음한 캘리포니아 블렌딩 와인 중에서 최고이다. 베리 과일류, 후추, 스파이스, 대단히 부드러운 탄닌 등이 완전히 조화로우며 입안에서 매력이 강하게 느껴진다. 브라보!"" - 로버트 파커, Wine Advocate",http://www.wine.co.kr/wine/642
299,Anna de Codorniu ,http://www.wine.co.kr/upload/products/wineList/spain/20180919024956009.png,11.5%,750ml,White,Sparkling,Medium Dry,샤도네이,"스페인, 페네데스","열대 과일, 시트러스","샴페인에 뒤지지 않는 세밀한 기포가 뛰어나며 풍부한 열대과일 아로마가 주는 크리미 한 느낌이 좋은 식전주, 메인 요리, 식후주 그 어떤 코스 요리의 순서와도 잘 어울린다.",코도르뉴,밝은 볕짚색,"구운야채, 생선 요리, 각종 해산물, 치킨요리",코도르뉴’ 와이너리는 카탈루냐 3대 건축가가 설계한 주요 건물과 세계에서 가장 큰 지하 와인 저장고의 가치를 인정받아 스페인 국가문화유산으로 지정됐다.,http://www.wine.co.kr/wine/715
300,Almaviva ,http://www.wine.co.kr/upload/products/wineList/france/Almaviva.png,14.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","칠레, 마이포 밸리",희미한 제비꽃과 담배의 향취,,Conchy Toro,짙은 루비색,"그릴에 구운 음식, 스테이크, 치즈, 버섯",,http://www.wine.co.kr/wine/441
301,Als Vitis QMP ,http://www.wine.co.kr/upload/products/wineList/germany/AlsVitisQMP.png,10.0%,750ml,White,Still,Sweet,기타,"독일, 모젤",정교한 과일향,이국적인 과일의 향과 어우러진 신선하면서 조화가 잘 되어 있는 리슬링 특유의 맛이 잘 살아 있는 와인입니다.,모젤란드,밝은 밀짚색,"샐러드, 치킨요리와 잘 조화",라벨에 그려진 예술가이자 와인메이커인 “헤인즈 아메스“가 그린 수채화는 험준한 모젤 지역에서 자라는 리슬링을 표현한 것으로 예술적 감각이 살아있는 모젤란드의 대표와인 중의 하나입니다.,http://www.wine.co.kr/wine/17
302,ALTER EGO ,http://www.wine.co.kr/upload/products/wineList/france/ALTEREGO.png,12.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼, 마고","블랙체리, 블랙커런트, 건조시킨 허브 향",신의 물방울에서 사도로 등장한 3등급 와인인 '샤또 팔머'의 세컨드 와인으로 중성적 이미지의 '마고'마을 와인입니다. '또 다른 자아와도 같은 절친한 벗'이란 의미의 프랑스어로 가까운 벗에게 선물하기 좋은 와인입니다.,ALTER EGO,짙은 루비색,"기본적인 육류, 감자 요리, 치즈",Parker Point 89,http://www.wine.co.kr/wine/409
303,Henri Lurton Margaux ,http://www.wine.co.kr/upload/products/wineList/france/HenriLurtonMargaux.png,12.5%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 보르도, 마고","블랙 커런트, 감초 등의 향이 꽃향, 오크향",묵직하면서도 섬세한 와인의 느낌과 함께 신선하면서도 강한 느낌을 주고 있으며 동시에 우아함을 잃지 않는 뛰어난 마고 와인이다,La Passion,짙은 루비빛,"각종 고기류, 치즈, 각종 이태리 요리 (스파게티) 등","와인은 와인이 지닌 독특함과 함께 복합성을 뛰어나게 표현하고 있으며 양조와 숙성은 샤또 브란 깡뜨냑에서 직접 이뤄지고 있다. 와인메이커이자 샤또 브란 깡뜨냑의 소유주인 엉리 뤼똥(Henri Lurton)은 1992년부터 샤또 브란 깡뜨냑을 직접 경영하고 있으며, 해마다 와인의 품질을 더 높이고 있다라는 평가를 받고 있다.",http://www.wine.co.kr/wine/473
304,Hermitage Rouge ,http://www.wine.co.kr/upload/products/wineList/france/20170403041001160.png,14.0%,750ml,Red,Still,Dry,기타,"프랑스, 론","후추, 스모크향과 약간의 오크 향","부드러운 타닌이 특징인 와인으로 붉은 과일류의 아로마가 층을 이루며 블랙커런트, 후추 등의 노트가 피니시의 밀도감과 한 데 어우러집니다.",Vidal-Fleury,진한 붉은빛,"양, 고기 등의 붉은 육류, 숙성된 치즈 등","Robert Parker: score 89 / 100, Decanter : “Silver”, China Wine & Spirits Awards",http://www.wine.co.kr/wine/679
305,Hermitage <Les Miaux> ,http://www.wine.co.kr/upload/products/wineList/france/20170331043300791.png,13.0%,750ml,Red,Still,Dry,기타,"프랑스, 론",블랙베리 등의 과실향,"부드러운 타닌과 잘 익은 과실류의 향이 조화롭고, 오래 이어지는 기분 좋은 피니시가 특징입니다.",Ferraton Pere & FIls,짙은 루비빛,"육류, 칠면조 요리, 숙성된 치즈류 등","Tradition range는 샤또네프 뒤 파프부터 꼬뜨 로티까지, 론 지역 전반에 걸쳐 다양한 토양의 테루아 별로 최상의 클래식 와인을 선보입니다. 친환경적인 포도 재배 방식 또한 많은 이들로부터 각광 받고 있습니다.",http://www.wine.co.kr/wine/660
306,L Merlot ,http://www.wine.co.kr/upload/products/wineList/chile/20160803073707283.png,13.5%,750ml,Red,Still,Dry,멜롯,"칠레, Central valley","레드 체리와 캬라멜향과 더불어 커피, 초콜릿 향기를 느낄 수 있습니다.",잘 익은 자두맛과 달콤하고 풍부한 탄닌이 오랫동안 지속됩니다.,Santa Rita,루비색,"모든 타입의 치즈, 파스타, 크림소스를 곁들인 생선 요리, 가금류 고기","2015 상반기 칠레 내수시장 판매 1위 와이너리 “Santa Rita”의 최초 Value wine “Legend of Chile” 의 약자로, 칠레 독립 영웅들의 스토리를 담음 와인 초보자 부터 애호가 까지 부담 없이 즐길 수 있는 스타일",http://www.wine.co.kr/wine/590
307,L Chardonnay ,http://www.wine.co.kr/upload/products/wineList/chile/20160803073348337.png,13.5%,750ml,White,Still,Dry,샤도네이,"칠레, Central valley","열대 과일, 풋사과, 오렌지 향",미디움 바디와 더불어 적당한 산도와 포도즙의 조화를 느낄 수 있습니다,Santa Rita,연한 노란색,"생선, 흰 살 육류, 샐러드","2015 상반기 칠레 내수시장 판매 1위 와이너리 “Santa Rita”의 최초 Value wine “Legend of Chile” 의 약자로, 칠레 독립 영웅들의 스토리를 담음 와인 초보자 부터 애호가 까지 부담 없이 즐길 수 있는 스타일",http://www.wine.co.kr/wine/589
